"Status","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","percentage.expenditure","HIV.AIDS"
0,57.6,278,1.28,22,25,7.615430126,1.8
0,79.3,74,2.47,59.2,1,1701.195787,0.1
0,76.6,122,5.26,62.8,31,168.173753,0.1
0,68,193,1.09,44.7,0,19.74929219,0.1
0,67.8,236,6.83,49.2,7,11.1516268,0.1
0,72,187,6.72,27.6,0,643.7035752,0.1
0,72.7,112,1.75,16.7,0,491.4978908,0.1
1,82.4,6,9.25,65.4,1,423.680459,0.1
0,65,212,0.76,72.8,0,18.19457876,0.1
0,73.3,14,0.54,54.6,19,22.0945504,0.1
0,73.1,16,5.91,54.7,6,843.7876995,0.7
0,75,92,5.75,28.1,231,5.660754839,0.1
1,73.8,163,10.21,59.8,0,1356.022164,0.1
0,75,127,4.88,54.9,46,781.2062828,0.1
0,64.6,294,6.94,46.3,8,351.8603267,0.1
0,66,259,0.16,2.1,2,9.087638194,0.1
0,66.6,198,5.69,27.7,0,7.495401346,0.5
1,81.1,57,8.58,68.8,0,374.2947283,0.1
1,72.2,157,10.96,59.1,1,384.1473028,0.1
0,75,12,4.56,5.5,0,45.71354264,0.1
1,78,222,12.3,58.4,0,913.699529,0.1
0,78.9,99,4.22,53.4,1,1859.095621,0.1
0,64.7,287,6.55,45.8,8,33.91660183,0.1
0,68,218,4.96,23.1,57,191.4949779,0.1
0,56.7,336,1.24,2.9,14,77.09551224,4.3
0,71,194,3.81,45.7,4,36.81621175,0.3
1,77.6,11,11.21,58.1,1,287.2084529,0.1
0,56.6,429,6.09,3.3,26,92.60233636,8.8
0,72.6,122,5.07,28.2,0,4.409153436,0.3
0,76,172,2.88,72,0,42.12368374,0.1
0,66,163,0.04,23.9,365,60.18648815,0.1
0,56.7,366,0.01,28.4,47,61.39263642,3.7
1,79.4,85,10.98,6.6,0,5579.199083,0.1
1,76,116,12.06,59.4,0,2425.403891,0.1
1,82.5,57,7.56,63.1,2,4831.644796,0.1
0,73,14,1.02,45.9,6,176.0107106,0.1
0,81.5,68,8.2,64.7,2,971.9280384,0.1
0,72,142,0.56,48.2,23,100.3638322,0.1
0,51.2,364,0.5,17.1,46,43.57328908,4.1
0,75.4,124,6.67,59.5,1,14.47305874,0.1
0,69.1,214,6.82,5.6,6,235.3566066,0.1
0,63.9,224,0.28,16.4,64,2.793843188,0.5
0,86,74,7.46,65.4,0,2183.106986,0.1
0,72.2,151,1.8,68.6,0,423.2953509,0.1
0,65.3,244,7.73,37.1,1,10.9363388,2.3
0,69.1,185,0.01,43,17,19.1624696,0.1
0,76.1,91,5.79,53.5,1,348.0559517,0.1
1,78.6,92,12.61,55.8,0,10111.38928,0.1
0,75,211,2.77,5.1,3,57.74562629,0.2
0,72.8,126,1.29,58.5,28,103.523776,0.1
0,59.4,288,1.7,23,41,129.0263364,2.9
0,66.1,195,2.13,15.9,15,48.35423978,0.6
0,74,15,1.36,51.4,3,379.7659054,0.1
0,55,388,9.55,2.4,542,104.4746444,5.2
0,56.1,285,1.15,2.1,25,10.73628066,2.1
0,66.3,188,0.06,15.4,187,3.43334364,0.1
0,72.5,146,3.97,71.4,0,47.35260547,0.1
0,73.7,17,1.34,5.6,4,321.7694175,0.1
0,59.1,251,1.4,23.5,25,110.2633619,1.4
1,79.1,86,11.12,57.6,2,1934.398154,0.1
0,65.9,218,7.56,45,0,345.9044258,0.3
0,55.5,278,0.57,19.6,55,102.1413744,1.6
0,68.2,21,4.9,41.4,0,251.6586929,0.4
1,76.3,19,12.21,6,0,2160.380199,0.1
0,64.3,222,5.27,23.4,0,10.8139134,1.6
1,72.6,157,10.89,6.9,1,591.5100978,0.1
1,79.5,83,12.26,58.8,2,228.3543024,0.1
0,72.5,146,2.05,7.8,0,568.8692813,0.1
0,74,15,3.63,47.2,1,194.092569,1.5
0,74.2,99,5.31,5.8,1,3.3021542,0.1
1,71.6,2,9.87,56.9,0,373.2605532,0.1
1,75,229,10.4,57.4,0,1099.248837,0.1
1,78.1,96,13.2,5.1,0,3557.455507,0.1
0,74.2,151,3.54,47.2,8,18.09317114,0.3
1,83,71,9.97,6.3,1,3829.550928,0.1
0,73.6,131,0.01,73.8,0,698.3522786,0.1
0,85,74,8.3,62.5,2,7946.743581,0.1
0,68.7,181,0.09,25.6,124,22.8478308,0.3
1,79.6,88,12.25,58.1,0,3119.349824,0.1
0,57.1,283,1.12,21.5,25,7.49281752,2
0,73.9,11,1.94,6.8,1,630.0540723,0.1
0,66.2,24,5.58,26.9,0,63.04032682,0.5
0,73,17,3.69,47.1,3,21.41123529,0.3
0,72.6,11,3.66,45,1,91.71154052,0.1
0,67.4,267,6.79,56.1,5,180.3537859,1
1,75.8,114,12.56,58.7,0,2019.812779,0.1
1,81,8,12.5,53.7,0,7453.8644,0.1
0,81.8,61,2.67,63.4,1,3793.161624,0.1
0,76,198,3.77,44.9,4,2.542436908,0.3
0,54,47,0.96,2.5,69,5.743393664,10.8
0,72.2,165,3.02,42,5,188.2499208,1.2
0,73.4,157,5.93,56.8,6,97.52211538,0.3
0,74.2,144,4.37,55,12,184.3073618,0.1
1,72.5,157,8.51,54.4,3,665.6427546,0.1
0,74.5,148,3.55,53.2,2,473.1238124,0.1
0,67.3,235,0.01,48,1,257.8403154,0.1
0,54.1,361,4.5,14.5,24,21.24915339,3.8
0,67.3,192,1.78,37.5,24,40.13342094,0.3
0,82,94,13.18,57,3,5291.234786,0.1
0,53.6,362,0.01,24.7,490,263.2111031,3.9
0,63.5,228,0.44,15.7,66,4.15451614,0.5
0,71.1,13,1.98,48,5,246.5686008,0.1
1,76.3,13,10.59,58.4,2,220.4916851,0.1
0,81,69,2.23,6.1,1,1895.342792,0.1
0,75.8,125,5.11,57.2,40,980.2537444,0.1
0,65.3,27,0.48,75.2,0,18.21661422,0.1
1,81.7,65,11.12,6.9,0,16255.16198,0.1
0,72,197,2.37,53.4,2,549.2783081,0.3
0,74.1,151,3.11,48.4,4,363.5721644,0.4
0,77.2,89,4.03,55.3,0,732.8662491,0.1
0,76,176,6.5,43,0,144.9850711,0.4
0,73.9,126,6.18,49.2,1,110.1138286,0.1
0,75.2,127,7.75,57.5,11,961.1774676,0.1
0,67.8,183,1.59,37,24,34.41887163,0.3
0,75.7,125,5.52,47.8,1,78.80940216,0.2
1,77.1,14,11.49,61.9,0,1851.713262,0.1
1,82,6,7.49,62.1,2,4793.904924,0.1
0,53.6,459,4.93,29.7,2,56.93670561,21.6
0,74.2,14,1.37,52.2,3,379.5139945,0.1
0,64.7,22,5.46,24,0,47.08931143,1.2
0,58.8,279,0.01,16.7,74,79.67936736,0.1
0,59.6,321,0.59,39.6,11,124.3789361,1.4
0,71.9,166,3.04,41.2,6,194.4335736,1.4
0,63,26,0.01,3.1,8,80.92679802,0.9
1,73.1,159,11.9,55.6,2,128.0805702,0.1
0,69.9,22,6.29,52.3,5,24.44473709,0.1
0,81.6,68,8.3,65.3,2,9748.636237,0.1
0,69.6,162,0.01,39.9,10,7.829008596,0.2
0,77.5,118,6.89,56.3,1,1694.467075,0.1
0,65.6,229,7.56,43.2,0,536.2332523,0.4
0,67,189,0.21,15.4,27,70.27113179,0.2
0,64.8,313,10.87,54.5,20,266.5416917,0.3
0,71.4,178,6.32,57.7,0,1132.432517,0.4
0,65.8,22,0.01,76.7,0,137.2591943,0.1
0,77,148,3.82,22.6,0,155.2072669,0.8
1,83,81,11.96,59.5,0,331.457035,0.1
0,74.5,98,1.67,62.5,1,69.13924862,0.1
0,68,155,0.01,17,2,28.14578503,0.1
0,63.5,219,0.3,21.2,21,1.177477677,0.5
0,75.5,121,8.15,59.8,10,187.610955,0.1
0,69.5,22,4.72,52.6,0,685.0299083,0.8
0,73.1,147,4.53,51.3,15,62.43710774,0.1
0,73.6,14,4.25,46,1,96.20557078,0.1
0,74.1,131,0.49,35.3,3,65.56659662,0.1
0,67,322,0.49,15.1,6,11.76572311,1.1
0,44.5,715,4.06,26.7,26,0,36.7
0,73.9,158,5.95,27.9,10,71.6850913,0.2
1,79,92,12.35,56.5,0,3652.869332,0.1
0,73.6,148,5.36,47.9,3,441.8446244,0.1
0,74.2,13,7.71,53.6,1,158.2576025,0.1
0,75.5,124,5.43,46.9,2,7.320514461,0.1
0,47.1,587,1.18,16.2,38,6.847033785,21.1
0,67.2,183,1.54,36.4,25,28.52135777,0.3
1,82,63,10.3,64.4,1,10986.26527,0.1
0,73.4,157,3.08,45.9,4,286.1211446,0.5
0,73,193,3.51,43.5,4,22.35595448,0.4
0,74.4,144,3.52,47.9,8,19.13983284,0.3
0,73.2,11,1.19,48.9,4,257.2878697,0.1
0,71.8,123,0.51,51.7,21,171.3658969,0.1
0,62.8,274,2.79,38.5,2,56.431387,0.1
0,65.4,247,6.71,36.4,1,15.54978677,1.7
0,68,183,2.56,4,21,92.81479759,0.2
0,59.1,331,0.68,38.2,11,93.37278497,1.3
0,51.6,376,9.05,21.6,527,14.5676468,4.9
0,59.8,269,0.27,18.8,2,7.212110766,0.1
0,74.2,148,0.01,32.8,0,115.2784282,0.1
0,78,16,4.15,51.4,1,1185.412346,0.1
1,81.9,64,10.52,63.9,1,8875.786493,0.1
0,59.1,297,0.01,18.2,22,41.25159038,0.7
0,72.2,121,2.14,5.6,5,275.6514934,0.1
0,52.1,522,0.01,32,4,162.1278115,9.4
0,75,134,3.95,5.7,7,367.9285652,0.1
0,65.2,24,7.04,39.6,1,170.6325842,1.1
0,59.3,347,10.22,16.7,76,94.49686776,6.8
0,73.8,145,1.96,17.2,4,120.2471713,0.1
0,73.5,144,4.66,52,14,780.5946749,0.1
0,71.5,179,4.14,26.4,0,369.6317105,0.1
1,89,78,9.88,6.9,0,271.2545531,0.1
0,61.4,217,0.02,26.1,8,61.76263795,1.3
1,77,14,12.19,61.3,0,1913.356642,0.1
0,67.1,186,1.47,35.9,27,24.99438738,0.2
1,82.3,58,7.35,62.6,2,483.1916844,0.1
0,68.7,26,1.95,57.3,0,81.04656111,0.1
1,78.4,68,11.68,53.8,0,1128.050886,0.1
0,52.4,437,1.49,15.5,74,35.85204668,14.5
0,70,177,6.58,5.1,0,670.0920883,0.2
0,63.5,238,2.86,4,6,186.1013972,0.1
0,77.6,119,6.74,57.1,1,1842.463782,0.1
1,79.8,85,10.05,61.6,0,671.9376566,0.1
1,86,68,11.88,58.9,0,4509.234803,0.1
0,79.8,86,7.26,61.2,2,211.614293,0.1
0,74.6,144,4.38,57.2,11,1435.487755,0.1
0,54.2,382,5.9,24.9,56,68.7073044,6.7
0,72.7,144,0.53,27,4,210.2417002,0.1
0,54.8,321,0.01,12.2,88,10.42496,0.1
0,78,129,1.98,15.6,0,41.30688803,0.1
0,49.6,365,7.8,2.4,78,191.6537407,2.5
0,67.7,273,9.46,57.6,5,456.4586664,0.4
1,72.4,188,12.9,6,0,1423.802386,0.1
0,68.8,184,0.01,42.2,18,16.71406295,0.1
0,73.2,131,0.93,46.8,9,10.21129783,0.1
0,79,19,2.21,45.9,13,472.2234994,0.4
0,65.3,213,0.06,18.2,174,55.36107207,0.1
0,46.4,693,5.51,31.6,2,299.3671252,31.9
0,56.1,288,4.5,15.6,45,107.7988339,1.5
0,73.9,128,4.09,51.9,1,260.9963826,0.1
0,73.9,154,0.01,31.8,0,915.1859205,0.1
0,58,399,6.39,3.8,25,10.66670728,6.8
0,54,47,0.01,23.3,23,1.321464076,0.8
0,75.6,136,3.79,52.7,1,5.457289334,0.6
0,75.3,126,4.93,56.4,42,998.3498049,0.1
1,75.7,136,10.7,57.8,2,1299.159757,0.1
0,56.8,356,1.97,17.3,66,59.83361364,9.1
0,74.4,128,9.65,57,1,774.4396617,0.1
0,68.5,211,2.06,55.9,0,52.1241634,0.1
0,75.4,11,0.01,58.4,21,54.2373183,0.1
1,72.8,18,9.8,58.9,0,1109.969508,0.1
0,58,363,2.47,2.7,30,184.3649102,6.8
0,68,299,0.64,41.9,11,126.6142137,1.5
0,77.6,98,4.34,45.4,1,94.17819458,0.1
0,48.9,418,3.78,22.2,26,54.6659175,1.3
0,74.4,12,1.46,53.1,3,420.1153538,0.1
1,79.3,66,8.84,65.6,0,2380.699796,0.1
1,72.9,154,10.6,55,3,919.1673438,0.1
0,67.4,225,4.26,44.9,2,181.0123284,0.1
0,69.6,181,7.22,45.7,0,51.25232422,0.1
0,72.9,136,0.5,48.9,19,2.548922758,0.1
1,81,54,9.04,59.2,0,212.0859259,0.1
1,79.1,62,12.01,56.8,0,239.6409938,0.1
0,73.3,163,2.95,3.7,0,0.108055973,0.2
0,65.3,237,7.93,37.8,1,16.47949015,2.1
0,48.1,463,0.01,23.8,23,1.443286353,0.6
0,57.6,31,1.6,2.7,42,3.336437969,3.5
0,48.6,453,1.56,19.8,17,40.45156933,7.3
0,72.3,161,5.61,43.5,3,26.18072382,0.2
0,57,415,7.82,14.1,31,1.9659778,8
0,62.2,241,0.12,22.1,2,59.6596497,0.2
0,57.3,295,0.03,14.7,84,17.17151751,0.1
0,75.4,124,4.9,55.7,44,920.8284115,0.1
0,46.2,441,3.91,2.7,29,5.379606465,1.9
0,68.4,225,0.01,51.5,1,281.0023992,0.1
0,75.4,16,5.16,51.5,0,8.240355867,0.1
0,66.7,189,0.05,16.7,177,43.17867291,0.1
0,74.2,148,3.64,48.1,1,25.62349238,0.9
0,66.4,178,0.32,35.3,10,4.153362912,0.3
0,68.4,21,5.67,42.6,0,312.7995946,1.5
0,74,143,1.54,53.5,44,421.2956602,0.1
0,49.5,48,2.09,16.9,90,37.82511936,13.4
0,81,84,7.2,62.5,2,2442.222054,0.1
1,74.4,138,9.58,58.4,2,1078.358105,0.1
1,73.7,153,8.4,53.1,3,412.4323974,0.1
0,79.1,81,9.46,59.2,0,2124.921517,0.1
0,72.1,163,6.38,42.8,3,20.68037294,0.2
0,76,145,0.19,55.8,32,21.82252494,0.1
1,80,8,11.53,58.4,0,18961.3486,0.1
0,66.4,3,11.79,55.7,17,12.25184084,0.3
0,75.9,12,8.35,61,9,1133.558003,0.1
1,81.9,57,7.3,58.5,0,1212.666327,0.1
0,74.2,116,1.49,61.9,21,32.78235828,0.1
1,73.1,158,10.4,56.3,2,14.96373588,0.1
1,77.3,15,14.21,52.5,0,2283.891796,0.1
0,71.2,194,5.92,19.4,17,176.0625201,0.8
0,74,133,4.29,5.2,11,516.4037021,0.3
0,74.1,138,7.81,55.1,12,470.1869145,0.1
1,72.2,161,10.39,6.3,1,508.6304588,0.1
0,82,81,11.1,61.6,3,6646.953935,0.1
0,56.5,273,0.6,2.7,54,9.585584394,1.5
0,79,13,13.89,55.2,3,3451.185079,0.1
0,74.5,141,3.03,2.5,3,20.83302367,0.1
0,68.2,247,12.05,56.2,1,42.33443901,0.1
0,81.8,6,2.78,63.8,1,3830.184587,0.1
0,71.9,155,1.51,67,0,310.8203382,0.1
0,54.3,32,4.73,14.6,47,64.24025208,2
0,75.1,137,3.87,5,7,282.1440066,0.1
0,50,587,4.64,29,30,1.040021112,18.1
1,78.3,95,12.91,55.2,0,910.5062778,0.1
0,67.6,2,0.85,43.8,0,28.90135229,0.1
0,78.8,13,13.63,54.6,3,3410.284431,0.1
0,45.9,6,5.65,27.1,3,2.819124474,50.6
1,82.3,54,7.3,59,0,1142.212403,0.1
0,73.9,99,2.92,24.1,332,171.6596026,0.1
0,69,265,0.72,15.8,37,33.74786198,0.6
0,76.8,127,6.87,53.4,1,1092.155356,0.1
0,74.9,116,0.56,55,21,509.0020405,0.1
0,63.8,241,0.97,18.5,31,78.79967196,0.4
0,65.1,217,4.14,24.7,0,49.93698173,1.2
0,64.8,28,1.37,13.9,1500,34.85942671,0.3
0,58.7,254,1.33,23,25,94.25737917,1.4
1,81.6,61,7.25,6.5,2,5243.316638,0.1
1,71.6,16,10.72,57.5,1,25.06262895,0.1
0,58.3,34,1.44,22,14,39.08258546,2.6
0,74.8,126,0.52,39.5,4,721.3655432,0.1
0,65.1,38,10.47,54.2,21,2.642527148,0.3
0,70,229,10.58,59.3,14,1529.497771,0.2
0,67.9,228,0.28,2.3,1,244.0391949,0.5
0,72.8,166,2.83,3.2,0,624.2361828,0.1
0,49.8,416,2.16,17.3,87,40.82597077,14.5
0,69.9,146,0.58,47.3,24,88.16506179,0.1
1,74.6,138,9.59,59.2,2,1230.748231,0.1
0,72,199,13.94,61.7,0,1147.1114,0.1
0,58.1,299,0.01,22.7,27,50.57976483,0.5
1,73.4,169,15.19,61.9,0,2211.744178,0.1
0,76.3,75,1.59,21.2,0,100.503021,0.1
0,72.8,161,3.23,43.5,5,192.9297829,0.8
0,79.9,77,9.51,62.4,0,3682.88717,0.1
0,76.4,124,6.16,51.9,1,76.2508038,0.2
0,69,371,7.34,49.5,43,978.5905287,4.5
0,72,17,6.85,46.9,81,186.6090485,0.1
1,80,81,10.22,61.9,0,665.7356115,0.1
0,80,77,7.8,6.6,2,5513.329924,0.1
0,50,525,1.27,16.9,36,74.34482999,16.9
0,72.2,185,8.12,31.2,0,916.4741775,0.1
0,63.8,263,2.43,39.8,2,55.60878216,0.1
0,68,178,0.24,16.4,23,84.62302524,0.2
0,74.6,139,3.76,49.3,7,197.9303077,0.1
0,59.5,251,0.01,24.6,25,87.4080423,1.2
0,81.3,86,11.7,6.1,3,72.8001211,0.1
0,59.7,247,0.35,19.1,24,66.02236299,0.7
0,72.3,116,0.62,52.7,20,188.2902861,0.1
0,72.6,134,2.86,47.8,1,57.17810403,0.1
0,73.6,157,3.88,45.1,8,187.3843511,0.3
0,51.6,365,0.56,17.5,46,67.76269089,3.9
0,69.7,19,0.01,61.9,0,50.539484,0.1
0,68,247,12.98,54.4,1,24.24947846,0.1
0,72.5,125,0.54,57,4,32.52523612,0.1
0,77,196,2.14,47.2,12,443.3248254,0.4
0,73.9,114,0.4,64,4,546.6235156,0.1
0,58.9,294,0.01,22.6,14,41.60027954,1.7
1,79.7,57,10.69,58.3,0,2443.325028,0.1
0,67.5,216,4.19,21.1,62,137.327474,0.1
0,71.2,138,1.47,55.1,38,35.55729,0.1
0,54.9,459,7.04,41.6,54,346.5316007,26.6
0,62.9,255,0.01,21.3,56,170.9626624,2.9
0,73.7,115,0.41,63.2,4,67.70171064,0.1
0,76.4,119,6.76,6.1,1,24.73142261,0.1
0,58.1,275,4.51,17.1,42,85.55592906,0.9
